text,real_labels,predicted_labels
but nice hotel for budget traveller .,"[{""aspect"": ""budget"", ""opinion"": ""nice"", ""polarity"": ""POS"", ""category"": ""HOTEL#PRICE""}]","[{""aspect"": ""hotel"", ""polarity"": ""POS"", ""opinion"": ""nice"", ""category"": ""HOTEL#GENERAL""}]"
We moved to this Hotel because its closer to the Double Six Beach .,"[{""aspect"": ""Hotel"", ""opinion"": ""moved"", ""polarity"": ""NEU"", ""category"": ""LOCATION#GENERAL""}, {""aspect"": ""Beach"", ""opinion"": ""closer"", ""polarity"": ""POS"", ""category"": ""LOCATION#VIEW""}]","[{""aspect"": ""Double Six Beach"", ""polarity"": ""POS"", ""opinion"": ""closer"", ""category"": ""LOCATION#ATTRACTIONS""}]"
"The room smelled very musty , it was unclean and dirty .","[{""aspect"": ""room"", ""opinion"": ""smelled"", ""polarity"": ""NEG"", ""category"": ""ROOM#CLEANLINESS""}, {""aspect"": ""room"", ""opinion"": ""unclean"", ""polarity"": ""NEG"", ""category"": ""ROOM#CLEANLINESS""}, {""aspect"": ""room"", ""opinion"": ""dirty"", ""polarity"": ""NEG"", ""category"": ""ROOM#CLEANLINESS""}]","[{""aspect"": ""room"", ""polarity"": ""NEG"", ""opinion"": ""musty"", ""category"": ""ROOM#CLEANLINESS""}]"
"My duvet cover had some brown undefined stains , it looked like fecal .","[{""aspect"": ""duvet cover"", ""opinion"": ""stains"", ""polarity"": ""NEG"", ""category"": ""ROOM#CLEANLINESS""}]","[{""aspect"": ""duvet cover"", ""polarity"": ""NEG"", ""opinion"": ""brown undefined stains"", ""category"": ""ROOM#BED""}]"
"The wifi was appalling , the pool area was completely inadequate , without any loungers or even any space for lounging for that matter .","[{""aspect"": ""wifi"", ""opinion"": ""appalling"", ""polarity"": ""NEG"", ""category"": ""FACILITY#WIFI""}, {""aspect"": ""pool area"", ""opinion"": ""inadequate"", ""polarity"": ""NEG"", ""category"": ""FACILITY#POOL""}]","[{""aspect"": ""wifi"", ""polarity"": ""POS"", ""opinion"": ""appalling"", ""category"": ""FACILITY#WIFI""}, {""aspect"": ""pool area"", ""polarity"": ""NEG"", ""opinion"": ""incomplete"", ""category"": ""FACILITY#POOL""}]"
"The room had a distinct smell of drains , and was smaller than your average boat cabin .","[{""aspect"": ""room"", ""opinion"": ""smell"", ""polarity"": ""NEG"", ""category"": ""ROOM#CLEANLINESS""}]","[{""aspect"": ""room"", ""polarity"": ""NEG"", ""opinion"": ""smell of drains"", ""category"": ""ROOM#CLEANLINESS""}]"
"This hotel was clean and had a fantastic price ! Perfect for the solo traveler as the rooms are small , but for the price it can ' t be beat ! The spa was terrific as well ! I would stay there again ! Located close enough to walk to beach and all the shopping and local restaurants .","[{""aspect"": ""hotel"", ""opinion"": ""clean"", ""polarity"": ""POS"", ""category"": ""HOTEL#CLEANLINESS""}, {""aspect"": ""price"", ""opinion"": ""fantastic"", ""polarity"": ""POS"", ""category"": ""HOTEL#PRICE""}, {""aspect"": ""rooms"", ""opinion"": ""small"", ""polarity"": ""NEG"", ""category"": ""ROOM#SPACE""}, {""aspect"": ""price"", ""opinion"": ""can ' t be beat"", ""polarity"": ""POS"", ""category"": ""HOTEL#PRICE""}, {""aspect"": ""spa"", ""opinion"": ""terrific"", ""polarity"": ""POS"", ""category"": ""FACILITY#EXPERIENCE""}, {""aspect"": ""Located"", ""opinion"": ""close"", ""polarity"": ""POS"", ""category"": ""LOCATION#GENERAL""}]","[{""aspect"": ""hotel"", ""polarity"": ""POS"", ""opinion"": ""clean"", ""category"": ""HOTEL#CLEANLINESS""}, {""aspect"": ""price"", ""polarity"": ""POS"", ""opinion"": ""fantastic"", ""category"": ""HOTEL#PRICE""}, {""aspect"": ""spa"", ""polarity"": ""POS"", ""opinion"": ""tracious"", ""category"": ""SERVICE#AMENITIES""}, {""aspect"": ""beach"", ""polarity"": ""POS"", ""opinion"": ""walk"", ""category"": ""LOCATION#ATTRACTIONS""}, {""aspect"": ""shopping"", ""polarity"": ""POS"", ""opinion"": ""walk"", ""category"": ""LOCATION#NEARBY_AMENITIES""}, {""aspect"": ""local restaurants"", ""polarity"": ""POS"", ""opinion"": ""walk"", ""category"": ""LOCATION#NEARBY_AMENITIES""}]"
Great value .,"[{""aspect"": ""value"", ""opinion"": ""Great"", ""polarity"": ""POS"", ""category"": ""HOTEL#PRICE""}]","[{""aspect"": ""value"", ""polarity"": ""POS"", ""opinion"": ""Great"", ""category"": ""HOTEL#PRICE""}]"
Great location .,"[{""aspect"": ""location"", ""opinion"": ""Great"", ""polarity"": ""POS"", ""category"": ""LOCATION#GENERAL""}]","[{""aspect"": ""location"", ""polarity"": ""POS"", ""opinion"": ""Great"", ""category"": ""LOCATION#GENERAL""}]"
Modern decor .,"[{""aspect"": ""decor"", ""opinion"": ""Modern"", ""polarity"": ""POS"", ""category"": ""ROOM#AMBIENCE""}]","[{""aspect"": ""decor"", ""polarity"": ""POS"", ""opinion"": ""Modern"", ""category"": ""HOTEL#AMBIENCE""}]"
